true_quality,answer_length,group,human_1,human_2,judge_pass_1,judge_pass_2
5,241,A,5,5,5,5
4,179,B,5,4,4,3
4,205,A,4,4,5,4
5,201,A,5,4,5,5
3,217,A,3,3,3,3
4,202,B,3,3,4,4
5,219,B,4,5,4,4
2,107,A,2,3,2,3
1,136,A,1,2,1,1
2,320,A,2,2,2,4
2,157,A,1,2,1,2
5,166,B,5,5,4,5
5,264,B,5,5,5,5
1,291,B,1,2,2,2
3,114,A,2,2,3,4
5,225,A,5,5,5,4
1,148,A,1,1,1,2
4,105,B,4,5,3,4
1,243,B,1,1,1,1
3,214,A,3,3,3,4
5,245,A,5,5,5,5
2,151,B,1,2,3,1
2,236,A,2,2,2,3
2,166,B,2,2,1,1
4,218,B,4,4,3,3
2,126,A,3,1,1,1
5,155,B,5,5,4,4
3,309,B,3,3,4,3
3,181,B,3,3,3,3
3,236,A,3,3,2,2
3,214,B,3,4,3,4
3,185,A,3,3,4,4
3,180,B,3,3,2,3
5,284,B,5,5,5,5
5,219,A,5,5,5,5
4,217,B,4,3,4,4
4,230,A,4,5,5,4
4,310,B,5,4,5,3
2,252,B,2,1,3,2
5,267,B,5,5,5,5
3,177,B,3,3,3,2
2,107,B,2,1,2,2
5,306,A,5,5,5,5
1,260,B,1,1,1,1
5,230,A,5,5,5,5
4,266,A,3,4,4,4
1,247,A,1,1,2,1
1,250,A,1,1,1,2
3,280,A,3,3,3,3
1,160,A,1,1,2,1
1,298,B,2,1,2,1
3,129,A,3,3,3,2
5,300,A,5,5,5,5
3,251,A,3,3,4,3
5,301,B,5,5,5,5
5,372,B,5,5,4,5
5,344,B,5,5,5,5
4,148,A,4,5,4,4
3,98,A,3,3,2,1
3,273,A,3,3,4,3
2,133,B,2,3,2,1
3,215,A,3,3,3,3
2,263,A,2,3,2,3
2,89,B,2,2,2,1
5,92,B,5,5,4,4
1,210,B,1,1,1,2
1,195,A,1,2,1,1
1,175,B,1,2,1,2
5,243,B,5,4,5,5
4,168,A,5,4,4,3
5,134,A,5,5,5,5
2,192,A,3,2,2,3
4,160,A,4,4,4,4
2,89,B,2,2,2,1
3,251,A,4,3,3,3
1,188,A,1,1,1,1
4,256,B,4,4,4,4
5,171,B,5,5,5,5
4,182,A,4,3,4,4
1,122,A,1,1,2,1
3,154,A,2,2,3,3
2,218,B,1,2,2,2
5,185,A,5,5,5,5
5,265,A,5,5,5,5
1,216,B,1,1,2,1
3,358,A,3,3,4,4
5,143,A,5,5,4,4
5,302,A,5,4,5,5
4,222,B,4,4,4,4
4,227,A,4,4,5,4
1,91,A,1,2,1,1
4,196,B,3,4,4,4
3,268,A,4,4,4,4
1,186,B,1,1,2,1
2,210,A,2,2,2,3
3,196,A,3,3,2,3
4,309,B,4,5,4,4
3,214,B,3,3,2,3
4,74,B,3,4,4,3
5,192,A,4,5,5,5
4,90,B,4,4,4,3
2,40,A,3,2,2,1
4,191,B,4,5,5,2
3,309,B,3,3,4,3
1,195,A,1,1,1,1
1,110,A,2,1,1,1
4,162,B,4,4,4,3
2,283,A,2,2,3,2
3,227,B,4,3,3,3
2,207,B,2,3,2,2
2,200,B,2,2,3,1
1,195,B,1,2,1,1
2,260,B,3,2,2,1
5,279,A,5,5,5,5
3,231,A,3,3,3,4
2,131,B,2,2,2,1
3,252,B,2,3,3,3
5,192,B,5,5,5,5
2,281,A,2,2,2,2
3,127,A,3,2,3,3
3,206,A,3,3,3,3
4,227,A,4,3,5,5
3,123,A,2,3,3,1
4,349,B,4,4,3,4
3,318,B,3,3,3,3
4,196,A,4,4,4,3
5,294,A,5,5,5,5
1,219,B,1,1,1,1
3,40,A,2,2,3,3
3,234,A,4,2,2,3
2,200,A,2,1,3,2
2,210,B,3,2,3,2
1,117,B,2,2,1,1
3,197,A,3,2,3,3
5,228,A,4,5,4,5
1,275,A,1,1,2,2
3,239,A,2,3,5,3
5,240,B,5,5,5,5
5,347,B,5,5,5,5
2,165,B,1,2,2,2
1,165,A,1,2,1,1
4,101,A,3,4,4,3
1,302,A,1,1,1,1
2,272,B,2,2,2,3
3,280,A,3,3,4,3
5,287,A,5,5,5,5
1,200,B,1,1,1,1
4,243,A,4,4,5,4
3,198,A,2,4,3,3
1,178,A,1,1,1,2
5,244,A,5,5,5,5
5,346,A,5,5,5,5
3,255,B,4,3,2,3
5,236,A,5,5,4,5
4,187,B,4,4,3,4
5,196,B,5,4,4,5
5,352,A,5,5,5,5
3,251,B,3,4,2,3
2,209,B,2,3,2,3
1,168,A,1,1,1,1
3,138,A,3,3,4,3
